Word,Length,Frequency
patient,7,1
patiently,9,1
paul,4,1
pause,5,1
pay,3,2
penalty,7,1
penitent,8,1
perchance,9,1
perhaps,7,1
peruse,6,1
phoenix,7,2
pig,3,1
pinch,5,2
piteous,7,1
pity,4,2
place,5,2
plainings,9,1
plainly,7,1
play,4,1
plead,5,1
please,6,2
pleasing,8,1
poor,4,2
post,4,2
poston,6,1
practice,8,1
prating,7,1
pray,4,2
pray:,5,1
prays,5,1
preeminence,11,1
present,7,1
pretty,6,1
prey,4,1
princes,7,1
priory,6,1
prithee,7,1
proceed,7,1
procrastinate,13,1
procure,7,1
prolonged,9,1
prosperous,10,1
proud,5,1
prove,5,1
provide,7,1
provision,9,1
punishment,10,1
quest,5,2
quiet,5,1
quit,4,1
rancorous,9,1
random,6,1
ransom,6,1
rate,4,1
rather,6,1
rebecca,7,1
recalled,8,1
redeem,6,1
reft,4,2
relieve,7,1
reserve,7,1
retain,6,1
retained,8,1
return,6,3
returned,8,3
right,5,1
rigorous,8,1
roaming,7,1
rock,4,1
sad,3,1
saddler,7,2
safe,4,3
safety,6,1
sail,4,1
sailed,6,1
sailors,7,1
sake,4,2
save,4,1
saw,3,1
say,3,6
scarce,6,2
scene,5,3
schoolmaster,12,1
sconce,6,1
scour,5,1
sea,3,1
seafaring,9,1
sealed,6,1
search,6,1
seas,4,2
season,6,1
second,6,1
seditious,9,1
see,3,3
seek,4,4
seeks,5,1
seeming,7,1
seems,5,1
seen,4,1
seized,6,1
selfsame,8,1
sense,5,1
sent,4,1
sentence,8,1
sequel,6,1
servant,7,3
servants,8,1
serve,5,1
servitude,9,1
set,3,1
severed,7,1
shakespeare,11,2
shall,5,2
she,3,7
ship,4,3
ships,5,2
shipwracked,11,1
should,6,5
shoulders,9,1
sight,5,1
sin,3,1
since,5,1
sinking-ripe,12,1
sir,3,10
sir?,4,2
sister,6,5
sit,3,1
situate,7,1
six,3,1
sixpence,8,1
sky,3,1
slave,5,3
sleep,5,1
slow,4,1
small,5,1
so,2,18
solemn,6,1
solinus,7,3
some,4,6
somewhere,9,1
sons,4,2
soon,4,4
soon?,5,2
sooner,6,1
sorcerers,9,1
sorrow,6,2
sorrowest,9,1
sought,6,1
soul,4,3
soul-killing,12,1
souls,5,1
spake,5,1
spare,5,1
speak,5,2
speed,5,1
spent,5,1
spit,4,1
splitted,8,1
sportive,8,1
spouse,6,1
sprung,6,1
stands,6,1
start,5,1
statute,7,1
statutes,8,1
stay,4,1
stays,5,1
stiff,5,1
still,5,1
stomach,7,2
stop,4,1
stories,7,1
storms,6,1
story,5,1
straight,8,1
strange,7,1
strangers,9,1
stream,6,1
strike,6,1
struck,6,1
strucken,8,1
subjects,8,1
substance,9,1
such,4,4
